Number,Translator,Chinese Sentences,Gloss,Note,log_coverage
train-00008,A,一会就可以出去了。,一会儿/去/可以/。,,1.540364910919229
train-00019,A,一定可以做到。,一定1/做/到/可以/。,,1.6385874893424315
train-00023,A,找到行李请立即送到我停留的饭店。,行李/找/有/快/我/饭店/给/。,,1.5418875185754377
train-00032,A,一起去吃点东西好不好？,和/去/吃/好不好/？,,1.5597610834527906
train-00060,A,下次你想去哪儿？,下/次/你/想/去/哪里/？,,1.7831907199792683
train-00070,A,不了，改天吧。,不/那/时间/。,,1.6253048125991936
train-00086,A,不必担心我们可以解决的。,担心/不/我们/解决/可以/。,,1.6693639785577397
train-00088,A,不是一直这样的。,一直/这里/样子/不/。,,1.6128567372209628
train-00091,A,不是所有的事情都可以做。,都/事/这里/样子/做/可以/不是/。,,1.6934347234445823
train-00099,A,不知道说什么感谢你。,说/什么/感谢/你/不知道/。,,1.5251866498876694
train-00117,A,不要多此一举了。,用/没有/做/不/。,,1.7056964222665532
train-00133,A,不要让我等得太久。,让/我/等/一直/不/。,,1.726200681253009
train-00146,A,业余时间你都干什么？,业余/时间/你/做/什么/？,,1.7096348513511224
train-00171,A,中国是世界人口最多的国家。,中国/世界/人/最2/多/。,,1.5438439133385942
train-00182,A,为什么呆在家里？,在/家/为什么/？,,1.507281186823554
train-00195,A,给我一个这样的东西。,这里/样子/东西/给/我/。,,1.8161862584066781
train-00197,A,书一到我们就给你打电话。,书/到/我/电话/会/。,,1.7295334611062854
train-00227,A,人都到齐了吗？,人/都/到/？,,1.5127626490122825
train-00235,A,什么问题都可以？,都/问题/可以/？,,1.5422127259273886
train-00236,A,今天一起去玩怎么样？,今天/和/去/玩/怎么/？,,1.6203375363124204
train-00238,A,今天不冷也不热。,今天/天气/冷/不/热/不/。,,1.5111488105342212
train-00245,A,今天发生的有趣的事情。,今天/兴趣/事情/有/。,,1.5105495245401006
train-00246,A,今天天气真不错，你还好吗？,今天/天气/好/你/好/？,,1.9562765371459694
train-00249,A,今天妈妈会送你去学校。,今天/妈妈/护送/你/学校/去/会/。,,1.602237826114348
train-00256,A,今天我不用早睡。,今天/我/早/睡觉/不/。,,1.5193673833803913
train-00259,A,今天我心情不错。,今天/我/心情/可以/。,,1.6109130819524515
train-00260,A,今天我想再买一组沙发套。,今天/我/想/再/买/沙发/套/。,套,1.5708141758072471
train-00261,A,今天我有很多工作要做。,今天/我/工作1/多/。,,1.5206104177553137
train-00264,A,今天早餐吃什么？,今天/早上1/吃/什么/？,,1.6452856472083415
train-00265,A,今天明天没时间。,今天/明天/时间/没有/。,,1.613921449406034
train-00272,A,今天晚上想吃点什么？,今天/晚上/吃/什么/？,,1.692328189443209
train-00278,A,今天的早餐很好。,今天/早上1/吃/好/。,,1.6289429306957373
train-00283,A,今天的饭真好吃。,今天/吃/好/。,,1.6598911687896956
train-00299,A,今晚你有空吗？,今天/晚上/你/时间/有/？,,1.9888572215704663
train-00300,A,今晚我们一起看电影吧。,今天/晚上/我们/和/看/电影/。,,1.7014751439369091
train-00301,A,今晚我有个约会。,今天/晚上/我/约会/有/。,,1.623647889492789
train-00302,A,今晚没什么时间。,今天/晚上/时间/没有/。,,1.6333034520076453
train-00312,A,他不会让你失望的。,他/让/你/失望/不/。,,1.7262549612807874
train-00320,A,他今天是我们的向导吗？,他/我们/今天/向导/是/？,,1.601847600542353
train-00324,A,他们不需要对你的人生负责。,他/对/你/人生/负责/不/。,人生,1.5382434618248249
train-00337,A,他们是我的朋友。,他们/我/朋友/是/。,,1.8017164815805515
train-00342,A,他们说我条件太好了。,他们/说/我/条件/好/。,,1.551942245744412
train-00345,A,他使我想起了他的弟弟。,他/让/我/想/他/弟弟/有/。,,1.9317795386106502
